# retrieved from http://www.ensembl.org/biomart/martview/d81b6aef15e4e70f94d34db8b8f23110?VIRTUALSCHEMANAME=default&ATTRIBUTES=drerio_gene_ensembl.default.homologs.ensembl_gene_id|drerio_gene_ensembl.default.homologs.external_gene_name|drerio_gene_ensembl.default.homologs.mmusculus_homolog_ensembl_gene|drerio_gene_ensembl.default.homologs.mmusculus_homolog_associated_gene_name&FILTERS=drerio_gene_ensembl.default.filters.with_mmusculus_homolog.only&VISIBLEPANEL=attributepanel
Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSDARG00000103025,hmgcs1,ENSMUSG00000093930,Hmgcs1
ENSDARG00000061439,ugt5c3,ENSMUSG00000035780,Ugt2a3
ENSDARG00000061439,ugt5c3,ENSMUSG00000054545,Ugt1a6a
ENSDARG00000061439,ugt5c3,ENSMUSG00000090124,Ugt1a7c
ENSDARG00000061439,ugt5c3,ENSMUSG00000090145,Ugt1a6b
ENSDARG00000061439,ugt5c3,ENSMUSG00000090171,Ugt1a2
ENSDARG00000061439,ugt5c3,ENSMUSG00000089943,Ugt1a5
ENSDARG00000061439,ugt5c3,ENSMUSG00000090175,Ugt1a9
ENSDARG00000061439,ugt5c3,ENSMUSG00000090165,Ugt1a10
ENSDARG00000061439,ugt5c3,ENSMUSG00000089675,Ugt1a8
ENSDARG00000061439,ugt5c3,ENSMUSG00000106677,Ugt2a1
ENSDARG00000061439,ugt5c3,ENSMUSG00000107180,Gm43638
ENSDARG00000061439,ugt5c3,ENSMUSG00000029268,Ugt2a2
ENSDARG00000052520,sgms2a,ENSMUSG00000050931,Sgms2
ENSDARG00000018542,hapln4,ENSMUSG00000007594,Hapln4
ENSDARG00000074253,olig3,ENSMUSG00000045591,Olig3
ENSDARG00000078768,abhd15a,ENSMUSG00000000686,Abhd15
ENSDARG00000100858,zgc:171695,ENSMUSG00000000486,Sept1
ENSDARG00000100858,zgc:171695,ENSMUSG00000034219,Sept14
ENSDARG00000062357,tafa1a,ENSMUSG00000059187,Tafa1
ENSDARG00000019135,ankef1a,ENSMUSG00000074771,Ankef1
ENSDARG00000068711,crfb4,ENSMUSG00000022969,Il10rb
ENSDARG00000068711,crfb4,ENSMUSG00000093701,Gm21970
ENSDARG00000043002,vmo1a,ENSMUSG00000020830,Vmo1
ENSDARG00000090854,lsm11,ENSMUSG00000044847,Lsm11
ENSDARG00000056683,cdk5,ENSMUSG00000028969,Cdk5
ENSDARG00000012446,zgc:113057,ENSMUSG00000027580,Helz2
ENSDARG00000078567,lonrf1l,ENSMUSG00000039633,Lonrf1
ENSDARG00000021444,prf1.2,ENSMUSG00000037202,Prf1
ENSDARG00000029263,hoxb3a,ENSMUSG00000048763,Hoxb3
ENSDARG00000030472,slc16a5a,ENSMUSG00000045775,Slc16a5
ENSDARG00000042515,gpr176,ENSMUSG00000040133,Gpr176
ENSDARG00000042018,fhl2a,ENSMUSG00000008136,Fhl2
ENSDARG00000036943,golph3l,ENSMUSG00000046519,Golph3l
ENSDARG00000015476,iqch,ENSMUSG00000037801,Iqch
ENSDARG00000089954,si:ch211-189e2.3,ENSMUSG00000040140,Tdrd6
ENSDARG00000002355,shpk,ENSMUSG00000005951,Shpk
ENSDARG00000044457,gfi1ab,ENSMUSG00000029275,Gfi1
ENSDARG00000087798,pdyn,ENSMUSG00000027400,Pdyn
ENSDARG00000093521,b3gnt3.3,ENSMUSG00000031803,B3gnt3
ENSDARG00000045443,agtr1b,ENSMUSG00000049115,Agtr1a
ENSDARG00000045443,agtr1b,ENSMUSG00000054988,Agtr1b
ENSDARG00000019293,tfdp1a,ENSMUSG00000038482,Tfdp1
ENSDARG00000101085,ss18l2,ENSMUSG00000032526,Ss18l2
ENSDARG00000007250,use1,ENSMUSG00000002395,Use1
ENSDARG00000011449,fes,ENSMUSG00000053158,Fes
ENSDARG00000099200,zgc:123103,ENSMUSG00000083282,Ctsf
ENSDARG00000044753,idh3b,ENSMUSG00000027406,Idh3b
ENSDARG00000006560,irf4a,ENSMUSG00000021356,Irf4
ENSDARG00000074302,gpr183b,ENSMUSG00000051212,Gpr183
ENSDARG00000061371,cdh18a,ENSMUSG00000040420,Cdh18
ENSDARG00000063574,mtg2,ENSMUSG00000039069,Mtg2
ENSDARG00000086471,pkig,ENSMUSG00000035268,Pkig
ENSDARG00000002377,mief2,ENSMUSG00000018599,Mief2
ENSDARG00000052129,boka,ENSMUSG00000026278,Bok
ENSDARG00000098029,si:ch211-129o18.4,ENSMUSG00000070577,Gm572
ENSDARG00000059773,SRCIN1,ENSMUSG00000038453,Srcin1
ENSDARG00000077253,alkbh6,ENSMUSG00000042831,Alkbh6
ENSDARG00000100694,tnnt2b,ENSMUSG00000026414,Tnnt2
ENSDARG00000093799,setbp1,ENSMUSG00000024548,Setbp1
ENSDARG00000052851,golph3,ENSMUSG00000022200,Golph3
ENSDARG00000009844,dusp23a,ENSMUSG00000026544,Dusp23
ENSDARG00000018871,henmt1,ENSMUSG00000045662,Henmt1
ENSDARG00000102608,zgc:109986,ENSMUSG00000062198,2700097O09Rik
ENSDARG00000003818,prkag1,ENSMUSG00000067713,Prkag1
ENSDARG00000038615,pip4p1a,ENSMUSG00000035953,Pip4p1
ENSDARG00000034734,med6,ENSMUSG00000002679,Med6
ENSDARG00000021913,ak9,ENSMUSG00000091415,Ak9
ENSDARG00000105120,gab2,ENSMUSG00000004508,Gab2
ENSDARG00000102929,zgc:101715,ENSMUSG00000054676,1600014C10Rik
ENSDARG00000073688,nav2a,ENSMUSG00000052512,Nav2
ENSDARG00000027141,ube2l3b,ENSMUSG00000038965,Ube2l3
ENSDARG00000052142,acvr1bb,ENSMUSG00000000532,Acvr1b
ENSDARG00000039218,gpr101,ENSMUSG00000036357,Gpr101
ENSDARG00000010717,chchd10,ENSMUSG00000049422,Chchd10
ENSDARG00000020449,yipf3,ENSMUSG00000071074,Yipf3
ENSDARG00000038792,klf17,ENSMUSG00000070902,Zfp352
ENSDARG00000038792,klf17,ENSMUSG00000048626,Klf17
ENSDARG00000038792,klf17,ENSMUSG00000073209,Klf14
ENSDARG00000044015,gfra2b,ENSMUSG00000022103,Gfra2
ENSDARG00000076801,arap3,ENSMUSG00000024451,Arap3
ENSDARG00000003206,chchd6a,ENSMUSG00000030086,Chchd6
ENSDARG00000078686,arl8a,ENSMUSG00000026426,Arl8a
ENSDARG00000044318,itgb7,ENSMUSG00000001281,Itgb7
ENSDARG00000076025,dgkzb,ENSMUSG00000040479,Dgkz
ENSDARG00000009253,rtraf,ENSMUSG00000021807,Rtraf
ENSDARG00000062549,acmsd,ENSMUSG00000026348,Acmsd
ENSDARG00000037555,atoh8,ENSMUSG00000037621,Atoh8
ENSDARG00000038976,pdcd7,ENSMUSG00000041837,Pdcd7
ENSDARG00000039349,qrfpra,ENSMUSG00000058400,Qrfpr
ENSDARG00000039349,qrfpra,ENSMUSG00000029917,C130060K24Rik
ENSDARG00000036588,mhc1zba,ENSMUSG00000067201,H2-M9
ENSDARG00000036588,mhc1zba,ENSMUSG00000073411,H2-D1
ENSDARG00000036588,mhc1zba,ENSMUSG00000048231,H2-M10.4
ENSDARG00000036588,mhc1zba,ENSMUSG00000073402,Gm8909
ENSDARG00000036588,mhc1zba,ENSMUSG00000079507,H2-Q1
ENSDARG00000036588,mhc1zba,ENSMUSG00000058124,H2-M10.3
ENSDARG00000036588,mhc1zba,ENSMUSG00000023083,H2-M10.2
ENSDARG00000036588,mhc1zba,ENSMUSG00000016206,H2-M3
ENSDARG00000036588,mhc1zba,ENSMUSG00000053835,H2-T24
ENSDARG00000036588,mhc1zba,ENSMUSG00000067212,H2-T23
ENSDARG00000036588,mhc1zba,ENSMUSG00000055413,H2-Q5
ENSDARG00000036588,mhc1zba,ENSMUSG00000073406,H2-Bl
ENSDARG00000036588,mhc1zba,ENSMUSG00000079491,H2-T10
ENSDARG00000036588,mhc1zba,ENSMUSG00000016283,H2-M2
ENSDARG00000036588,mhc1zba,ENSMUSG00000035929,H2-Q4
ENSDARG00000036588,mhc1zba,ENSMUSG00000037130,H2-M10.6
ENSDARG00000036588,mhc1zba,ENSMUSG00000024448,H2-M10.1
ENSDARG00000036588,mhc1zba,ENSMUSG00000037246,H2-M10.5
ENSDARG00000036588,mhc1zba,ENSMUSG00000061232,H2-K1
ENSDARG00000036588,mhc1zba,ENSMUSG00000064308,2410137M14Rik
ENSDARG00000036588,mhc1zba,ENSMUSG00000037334,H2-M1
ENSDARG00000036588,mhc1zba,ENSMUSG00000037537,H2-M11
ENSDARG00000036588,mhc1zba,ENSMUSG00000056116,H2-T22
ENSDARG00000036588,mhc1zba,ENSMUSG00000054128,H2-T3
ENSDARG00000036588,mhc1zba,ENSMUSG00000091705,H2-Q2
ENSDARG00000036588,mhc1zba,ENSMUSG00000092243,Gm7030
ENSDARG00000036588,mhc1zba,ENSMUSG00000073409,H2-Q6
ENSDARG00000036588,mhc1zba,ENSMUSG00000060550,H2-Q7
ENSDARG00000036588,mhc1zba,ENSMUSG00000079492,Gm11127
ENSDARG00000036588,mhc1zba,ENSMUSG00000024459,H2-M5
ENSDARG00000036588,mhc1zba,ENSMUSG00000067235,H2-Q10
ENSDARG00000098257,pcdh15a,ENSMUSG00000052613,Pcdh15
ENSDARG00000078717,itga8,ENSMUSG00000026768,Itga8
ENSDARG00000024219,cdk5rap2,ENSMUSG00000039298,Cdk5rap2
ENSDARG00000102612,slc15a4,ENSMUSG00000029416,Slc15a4
ENSDARG00000075818,dok2,ENSMUSG00000022102,Dok2
ENSDARG00000063006,cacng7a,ENSMUSG00000069806,Cacng7
ENSDARG00000024771,slc24a5,ENSMUSG00000035183,Slc24a5
ENSDARG00000052846,fsta,ENSMUSG00000021765,Fst
ENSDARG00000092855,SRBD1,ENSMUSG00000024135,Srbd1
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024681,Ms4a3
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000099398,Ms4a14
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024729,1700017D01Rik
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000057240,Ms4a13
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024677,Ms4a6b
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000079419,Ms4a6c
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024679,Ms4a6d
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000067571,Ms4a15
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000054523,Ms4a5
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024672,Ms4a7
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000094584,Ms4a18
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024728,1700025F22Rik
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024673,Ms4a1
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024680,Ms4a2
ENSDARG00000014024,ms4a17a.4,ENSMUSG00000024731,Ms4a10
ENSDARG00000100531,abhd14b,ENSMUSG00000042073,Abhd14b
ENSDARG00000055445,slc22a15,ENSMUSG00000052562,Slc22a30
ENSDARG00000055445,slc22a15,ENSMUSG00000063590,Slc22a28
ENSDARG00000055445,slc22a15,ENSMUSG00000053303,Slc22a26
ENSDARG00000055445,slc22a15,ENSMUSG00000075044,Slc22a29
ENSDARG00000055445,slc22a15,ENSMUSG00000024757,Slc22a19
ENSDARG00000055445,slc22a15,ENSMUSG00000067656,Slc22a27
ENSDARG00000089750,si:dkey-26g8.5,ENSMUSG00000114432,Gm49391
ENSDARG00000089750,si:dkey-26g8.5,ENSMUSG00000044258,Ctla2a
ENSDARG00000089750,si:dkey-26g8.5,ENSMUSG00000074874,Ctla2b
ENSDARG00000089750,si:dkey-26g8.5,ENSMUSG00000114635,Gm49392
ENSDARG00000078529,adgrb1b,ENSMUSG00000034730,Adgrb1
ENSDARG00000091169,tor4ab,ENSMUSG00000059555,Tor4a
ENSDARG00000052010,ciao2b,ENSMUSG00000031879,Ciao2b
ENSDARG00000098075,sh3bgrl3,ENSMUSG00000028843,Sh3bgrl3
ENSDARG00000069595,si:ch211-214c7.4,ENSMUSG00000064125,Prr36
ENSDARG00000045070,itgb3b,ENSMUSG00000020689,Itgb3
ENSDARG00000055901,steap4,ENSMUSG00000012428,Steap4
ENSDARG00000023111,plg,ENSMUSG00000059481,Plg
ENSDARG00000020197,rpl5a,ENSMUSG00000058558,Rpl5
ENSDARG00000040930,deptor,ENSMUSG00000022419,Deptor
ENSDARG00000099685,gnb5a,ENSMUSG00000032192,Gnb5
ENSDARG00000077778,adamts9,ENSMUSG00000030022,Adamts9
ENSDARG00000057227,si:dkey-222b8.4,ENSMUSG00000036411,9530077C05Rik
ENSDARG00000043431,b3gntl1,ENSMUSG00000046605,B3gntl1
ENSDARG00000029905,phyhd1,ENSMUSG00000079484,Phyhd1
ENSDARG00000077082,agtrap,ENSMUSG00000029007,Agtrap
ENSDARG00000077581,zzz3,ENSMUSG00000039068,Zzz3
ENSDARG00000027826,pudp,ENSMUSG00000048875,Pudp
ENSDARG00000054031,mxd4,ENSMUSG00000037235,Mxd4
ENSDARG00000062987,tyw1,ENSMUSG00000056310,Tyw1
ENSDARG00000004296,ambp,ENSMUSG00000028356,Ambp
ENSDARG00000039880,arpp19b,ENSMUSG00000007656,Arpp19
ENSDARG00000035860,rps28,ENSMUSG00000067288,Rps28
ENSDARG00000041078,chka,ENSMUSG00000024843,Chka
ENSDARG00000023298,rps27.1,ENSMUSG00000050621,Rps27rt
ENSDARG00000023298,rps27.1,ENSMUSG00000090733,Rps27
ENSDARG00000104332,cdh28,ENSMUSG00000061048,Cdh3
ENSDARG00000075112,tacr3a,ENSMUSG00000028172,Tacr3
ENSDARG00000074306,ctslb,ENSMUSG00000114432,Gm49391
ENSDARG00000074306,ctslb,ENSMUSG00000044258,Ctla2a
ENSDARG00000074306,ctslb,ENSMUSG00000074874,Ctla2b
ENSDARG00000074306,ctslb,ENSMUSG00000114635,Gm49392
ENSDARG00000040021,ebag9,ENSMUSG00000022339,Ebag9
ENSDARG00000036893,f13a1b,ENSMUSG00000039109,F13a1
ENSDARG00000013266,colec11,ENSMUSG00000036655,Colec11
ENSDARG00000042937,si:dkey-256e7.5,ENSMUSG00000045004,Spata21
ENSDARG00000094473,si:dkey-163f12.6,ENSMUSG00000051435,Fhad1
ENSDARG00000025671,grm6b,ENSMUSG00000000617,Grm6
ENSDARG00000035018,thy1,ENSMUSG00000032011,Thy1
ENSDARG00000039173,ctslb,ENSMUSG00000114432,Gm49391
ENSDARG00000039173,ctslb,ENSMUSG00000044258,Ctla2a
ENSDARG00000039173,ctslb,ENSMUSG00000074874,Ctla2b
ENSDARG00000039173,ctslb,ENSMUSG00000114635,Gm49392
ENSDARG00000032264,mybl2b,ENSMUSG00000017861,Mybl2
ENSDARG00000025325,ccsapa,ENSMUSG00000031971,Ccsap
ENSDARG00000056331,ahcyl1,ENSMUSG00000027893,Ahcyl1
ENSDARG00000102080,mif4gda,ENSMUSG00000020743,Mif4gd
ENSDARG00000069888,cldna,ENSMUSG00000047501,Cldn4
ENSDARG00000069888,cldna,ENSMUSG00000008843,Cldn13
ENSDARG00000038363,drd4a,ENSMUSG00000025496,Drd4
ENSDARG00000010472,atp1a2a,ENSMUSG00000007097,Atp1a2
ENSDARG00000040643,ccr10,ENSMUSG00000044052,Ccr10
ENSDARG00000075673,arhgap21b,ENSMUSG00000036591,Arhgap21
ENSDARG00000017422,apmap,ENSMUSG00000033096,Apmap
ENSDARG00000063390,pvrl2l,ENSMUSG00000053182,Gm609
ENSDARG00000063390,pvrl2l,ENSMUSG00000116542,Gm17783
ENSDARG00000063390,pvrl2l,ENSMUSG00000053559,Smagp
ENSDARG00000063390,pvrl2l,ENSMUSG00000071552,Tigit
ENSDARG00000063390,pvrl2l,ENSMUSG00000040511,Pvr
ENSDARG00000063390,pvrl2l,ENSMUSG00000062300,Nectin2
ENSDARG00000026403,hephl1b,ENSMUSG00000031209,Heph
ENSDARG00000062108,iffo1b,ENSMUSG00000038271,Iffo1
ENSDARG00000042726,grb7,ENSMUSG00000019312,Grb7
ENSDARG00000103155,ext1a,ENSMUSG00000061731,Ext1
ENSDARG00000019235,sema3aa,ENSMUSG00000028064,Sema4a
ENSDARG00000055472,nubp1,ENSMUSG00000022503,Nubp1
ENSDARG00000088293,doc2b,ENSMUSG00000020848,Doc2b
ENSDARG00000101050,tmc8,ENSMUSG00000050106,Tmc8
ENSDARG00000053383,rprma,ENSMUSG00000075334,Rprm
ENSDARG00000056921,ankk1,ENSMUSG00000032257,Ankk1
ENSDARG00000042057,trmt1l,ENSMUSG00000053286,Trmt1l
ENSDARG00000088764,lyplal1,ENSMUSG00000039246,Lyplal1
ENSDARG00000033754,rbm48,ENSMUSG00000040302,Rbm48
ENSDARG00000002184,igbp1,ENSMUSG00000031221,Igbp1
ENSDARG00000002184,igbp1,ENSMUSG00000046717,Igbp1b
ENSDARG00000015681,gsk3ab,ENSMUSG00000057177,Gsk3a
ENSDARG00000105359,FP325123.1,ENSMUSG00000081058,Hist2h3c2
ENSDARG00000070846,dazap1,ENSMUSG00000069565,Dazap1
ENSDARG00000070507,trpc4a,ENSMUSG00000027748,Trpc4
ENSDARG00000009754,zc3h11a,ENSMUSG00000056912,1700017N19Rik
ENSDARG00000009754,zc3h11a,ENSMUSG00000116275,Zc3h11a
ENSDARG00000009754,zc3h11a,ENSMUSG00000102976,Zc3h11a
ENSDARG00000004184,nf1b,ENSMUSG00000020716,Nf1
ENSDARG00000063155,dcaf12,ENSMUSG00000028436,Dcaf12
ENSDARG00000079453,atp8b4,ENSMUSG00000060131,Atp8b4
ENSDARG00000042825,rnf169,ENSMUSG00000058761,Rnf169
ENSDARG00000060036,aimp1a,ENSMUSG00000028029,Aimp1
ENSDARG00000020926,creb3l3l,ENSMUSG00000028466,Creb3
ENSDARG00000019098,cd82a,ENSMUSG00000027215,Cd82
ENSDARG00000016897,fbxo15,ENSMUSG00000034391,Fbxo15
ENSDARG00000037962,psmb7,ENSMUSG00000026750,Psmb7
ENSDARG00000003533,col8a1b,ENSMUSG00000068196,Col8a1
ENSDARG00000015566,dnmt3ab,ENSMUSG00000020661,Dnmt3a
ENSDARG00000115281,zgc:165555,ENSMUSG00000091405,Hist2h4
ENSDARG00000115281,zgc:165555,ENSMUSG00000096010,Hist4h4
ENSDARG00000020788,sla2,ENSMUSG00000027636,Sla2
ENSDARG00000069245,matn3a,ENSMUSG00000020583,Matn3
ENSDARG00000004597,lrrc4ba,ENSMUSG00000047085,Lrrc4b
ENSDARG00000009350,atg3,ENSMUSG00000022663,Atg3
ENSDARG00000010956,sh3glb1b,ENSMUSG00000037062,Sh3glb1
ENSDARG00000076966,pagr1,ENSMUSG00000107068,Gm42742
ENSDARG00000076966,pagr1,ENSMUSG00000030680,Pagr1a
ENSDARG00000076966,pagr1,ENSMUSG00000092534,Pagr1b
ENSDARG00000042252,eif4h,ENSMUSG00000040731,Eif4h
ENSDARG00000042151,skia,ENSMUSG00000029050,Ski
ENSDARG00000018008,mdh1b,ENSMUSG00000025963,Mdh1b
ENSDARG00000052164,znf507,ENSMUSG00000044452,Zfp507
ENSDARG00000071548,josd1,ENSMUSG00000022426,Josd1
ENSDARG00000046141,zgc:162025,ENSMUSG00000029559,2210016L21Rik
ENSDARG00000036080,cd81a,ENSMUSG00000037706,Cd81
ENSDARG00000041802,rnf141,ENSMUSG00000030788,Rnf141
ENSDARG00000071679,mydgf,ENSMUSG00000019579,Mydgf
ENSDARG00000079438,pkp3b,ENSMUSG00000054065,Pkp3
ENSDARG00000086457,tnfaip8l1,ENSMUSG00000044469,Tnfaip8l1
ENSDARG00000032552,march5,ENSMUSG00000023307,March5
ENSDARG00000058815,ihhb,ENSMUSG00000023000,Dhh
ENSDARG00000013076,bmi1b,ENSMUSG00000026739,Bmi1
ENSDARG00000044626,ccdc90b,ENSMUSG00000030613,Ccdc90b
ENSDARG00000015862,rpl5b,ENSMUSG00000058558,Rpl5
